zip,real_bup,real_meth,real_nal,s1_bup,s1_meth,s1_nal,s2_bup,s2_meth,s2_nal,s3_bup,s3_meth,s3_nal
60450,0.4622,18.711,18.0627,2.1241,4.5412,2.1219,6.2352,17.0724,16.7335,2.7617,28.7959,18.3459
60452,1.029,4.9542,4.9377,2.0165,8.4146,3.1895,0.9365,7.9304,3.2919,1.9044,7.8175,2.0073
60453,1.1332,3.5641,1.3416,1.2,3.0294,3.3049,1.0313,1.1733,2.0989,0.5964,1.6115,1.3133
60455,4.2148,4.7018,2.485,1.7952,5.8868,0.7421,0.8297,4.2079,1.8415,0.5853,0.8405,1.2922
60456,0.7565,2.5915,0.7849,0.8521,1.812,1.7128,0.4701,0.6913,1.1894,0.6856,1.0163,0.7759
60457,3.6407,3.8173,2.5913,2.6343,6.7949,2.212,0.6482,4.9634,1.8624,0.5519,1.7527,1.4744
60458,4.2509,5.4942,3.7442,0.9908,7.2948,1.4223,0.7824,5.6303,3.0232,0.1419,0.68,0.2374
60459,2.5004,4.1989,2.2578,2.219,3.9154,2.0958,0.2996,2.4709,2.045,0.2421,0.2483,1.3089
60462,1.3528,3.8287,1.9259,1.2044,9.934,3.9598,1.0326,8.4333,1.4861,1.5286,5.4695,3.1761
60463,1.2054,0.958,0.9938,1.6863,6.623,6.0208,1.1368,5.1228,3.9428,2.5484,5.2816,3.2275
60464,3.1445,3.4279,2.5848,3.2492,9.6238,6.8336,2.07,7.8376,4.4949,1.5619,3.7069,3.2341
60465,2.0728,2.3391,1.6202,4.4433,7.1122,3.9113,1.1529,5.2457,2.2945,0.996,3.5505,0.2288
60466,2.6213,2.2858,6.5771,0.9869,1.4054,4.6803,0.6983,4.2895,7.1323,7.8531,13.4485,9.5666
60467,0.9285,6.899,0.9344,2.0242,10.4914,5.0679,2.432,10.5379,3.6926,3.3113,4.0627,5.2855
60468,12.3435,7.3787,15.2291,0.6092,12.0991,4.1724,9.8347,15.3965,9.4527,15.0519,22.6257,17.7267
60469,1.4806,1.9191,1.9037,2.7955,5.7115,6.838,1.5271,4.8267,5.7486,2.0015,5.2691,1.2196
60471,1.7371,4.3679,7.4294,1.143,1.7855,7.2876,1.2925,6.8845,5.5229,6.0861,14.52,8.3016
60472,0.5683,3.4567,3.4412,2.8606,5.7648,6.6504,1.6464,5.1598,5.2254,0.9302,5.1894,1.3612
60475,2.5108,2.7858,7.1773,1.9344,4.1617,1.8459,1.6191,2.0109,5.2712,5.8027,13.2147,11.2642
60477,1.1124,6.3548,4.7787,1.1176,7.0908,0.4582,1.6187,10.6695,1.7731,1.3269,9.2036,1.3921
60478,1.5924,3.2001,3.2458,1.198,5.0681,3.8271,0.7357,7.8893,3.6523,3.778,9.5428,3.8643
60480,2.0431,5.7446,4.912,3.479,9.529,4.1352,2.6232,7.7105,4.602,2.6241,3.3883,1.9991
60481,14.1905,16.806,14.661,1.9261,2.5935,0.9366,8.0897,16.9901,16.8662,1.6566,27.2239,17.7763
60482,1.0549,0.9361,0.9269,3.461,5.5894,4.5923,1.5249,3.8431,2.1187,1.6727,4.1064,1.4698
60490,3.4318,8.4261,5.8508,1.446,9.5243,1.7166,1.0401,2.724,4.0476,2.3466,4.119,2.7823
60501,3.4618,6.6036,3.9549,1.2299,7.542,2.0664,0.2466,4.0942,3.2817,0.625,1.5806,2.4064
60504,1.0347,3.93,3.9178,3.8668,7.6491,6.0245,0.5842,1.6525,0.732,1.8991,7.0845,0.6984
60505,2.9522,0.8461,0.8374,2.3602,6.5283,2.9182,1.3971,2.2055,2.2052,0.5007,3.9578,2.7119
60506,3.1644,3.0972,2.2527,1.2827,8.2023,1.9333,0.9376,0.7533,1.6712,2.7127,1.5398,1.6874
60510,2.393,4.7842,4.0118,4.629,2.4332,4.2266,3.8143,6.7134,3.4549,2.125,4.829,5.5418
60513,0.7328,4.2008,2.3052,0.3498,10.2894,4.7589,0.9298,2.8263,2.5366,0.9857,2.8803,0.2698
60514,1.5049,2.7695,1.213,1.5155,14.2834,6.3264,2.0841,8.8223,5.1207,1.5175,4.8301,3.744
60515,0.3487,1.098,3.6205,1.6757,12.667,3.6231,1.054,6.1418,2.2511,0.6515,3.4339,1.3856
60516,2.3464,1.4159,4.7311,2.6273,14.3518,5.35,0.9688,5.5481,2.3445,2.4221,1.24,3.3747
60517,3.9232,1.8278,5.1978,3.4608,13.6541,5.3261,2.0398,4.2334,0.6779,0.4995,1.3347,2.5767
60520,13.0803,18.2039,13.3741,2.8432,6.0439,2.648,3.8288,9.974,11.29,7.8263,15.1865,16.509
60521,0.5868,4.2293,1.572,0.4814,13.0166,6.442,3.252,7.3671,6.5021,0.6305,6.2291,3.8188
60523,1.2612,4.0383,1.6037,2.7053,14.2763,3.6064,3.0589,7.1502,3.8323,2.1558,3.871,1.0122
60525,1.2746,7.1331,4.7975,0.513,9.7474,3.8396,1.0252,5.2391,4.9377,1.3853,3.4236,1.9179
60526,1.1628,4.0987,2.1922,1.8264,11.6831,4.7315,0.9276,4.1276,3.8647,0.7965,4.1051,1.2564
60532,1.423,2.8369,3.5422,2.0144,10.1552,1.4386,1.9902,2.9666,1.859,0.6742,3.2487,1.7372
60534,1.5782,4.614,2.0328,1.1861,8.8174,3.3414,0.5318,2.1032,1.8074,0.6509,2.2681,0.484
60538,5.6585,4.4455,2.8805,1.5944,10.4954,4.5734,1.3963,2.9147,2.3465,0.9484,4.5198,1.993
60540,0.2813,3.7932,0.6726,5.5112,8.7635,2.9566,1.3825,1.2922,0.7701,0.3594,5.5637,3.4515
60543,6.4665,7.4717,6.1559,2.5317,13.5204,7.3314,1.7217,4.8675,2.5798,3.4377,8.6999,5.7896
60544,5.7744,6.9739,7.017,1.1332,8.5485,0.896,3.1389,3.1758,3.6137,4.5633,9.1631,5.8107
60545,13.8253,13.6237,4.1994,2.5645,15.4135,6.9714,1.7361,10.0236,11.6526,8.3447,11.7188,11.187
60546,1.1882,3.3887,1.5771,1.3728,10.0174,4.4084,0.4828,1.4091,1.1904,0.6662,1.3532,1.7094
60548,19.1927,19.1198,9.1647,1.6663,14.7171,7.0944,3.1867,15.445,16.95,13.5616,17.0403,16.7062
60554,6.9805,7.783,6.7946,3.6082,8.7729,5.983,4.0829,4.1326,4.6673,4.4868,4.8378,6.2303
60555,1.982,1.9793,2.0049,6.1522,4.7482,1.8912,1.5659,2.0693,3.3534,1.1361,5.7569,5.5445
60559,1.9765,1.8541,1.7708,2.4221,15.1039,6.2296,1.4357,7.9202,4.1827,1.2265,3.9599,3.9685
60561,2.7395,3.3667,4.9607,4.3297,14.6274,6.1619,1.4268,6.9677,3.7778,1.0146,3.0476,5.2006
60563,0.9997,1.6393,0.9641,6.4636,6.1172,1.0377,0.9442,0.5168,2.5375,1.8887,5.8769,4.7515
60564,0.39,6.2349,4.1222,3.7394,10.6973,5.1969,0.897,3.1132,1.9223,3.6719,7.1084,3.9877
60565,2.3535,5.0849,2.6204,5.2552,11.2309,4.1752,0.3529,2.0095,1.8219,2.9246,4.4608,2.3442
60601,0.1294,0.8045,0.444,3.517,11.4779,2.4607,0.0603,1.0024,0.8505,0.4303,2.9253,2.26
60602,0.1271,0.7132,0.1451,3.4673,11.3368,2.5728,0.3359,1.2738,0.9382,0.581,2.5651,1.9134
60603,0.1993,0.9715,0.4169,3.2207,11.1692,2.784,0.3534,1.0066,0.6656,0.6032,2.7714,1.8804
60604,0.3649,1.0505,0.4694,3.1316,11.0218,2.9173,0.5492,1.0644,0.7169,0.4089,2.6445,1.6709
60605,1.0981,1.683,1.3551,2.3045,10.2661,3.6727,0.4401,0.4896,0.3977,0.837,2.9625,1.8287
60606,0.5552,0.755,0.1333,3.5624,11.1475,2.6618,0.4616,1.064,0.8522,0.3948,2.1497,1.5785
60607,0.5639,1.0399,0.5752,3.2934,10.4874,3.311,0.3535,0.6833,0.5153,0.8068,1.5797,0.7329
60608,1.1952,1.3426,0.9525,3.4155,8.5201,2.5829,0.6114,1.2977,1.094,0.4339,0.7871,1.3392
60609,0.9955,1.2967,2.6019,2.9411,6.2869,1.5675,0.6428,0.7036,1.2668,0.6702,1.1618,0.4729
60610,0.5174,0.7494,0.5943,3.8814,12.8761,0.9247,0.5943,0.3241,0.5582,0.5901,2.6314,1.8814
60611,0.0965,1.0236,0.1367,4.0429,11.9926,2.0175,0.36,0.4848,0.3193,0.2859,3.3772,2.7704
60612,0.7007,1.1147,0.6735,1.6245,10.6083,4.0286,0.5739,0.6643,0.4747,0.3235,0.5812,1.0182
60613,0.8382,0.4313,0.8333,2.5318,10.4347,2.7976,0.7525,0.3283,0.6194,0.6071,1.36,2.0246
60614,0.4683,1.2609,0.6338,3.3572,11.931,0.9835,0.059,0.1463,0.8575,1.2222,1.7468,1.812
60615,0.6699,1.0859,2.5237,2.3536,5.6154,4.6744,0.7483,0.7617,0.293,0.4393,0.9063,0.9005
60616,0.9833,0.0577,0.2095,1.0624,8.7675,3.8674,0.9733,0.9294,1.2367,0.8426,1.9101,1.1742
60617,0.7863,2.5757,0.7815,0.0984,1.4454,8.7566,1.1552,2.7325,0.4275,2.3672,3.2709,2.7668
60618,0.9611,1.3144,1.3159,2.1315,8.7622,4.1255,0.2413,1.3903,0.9343,0.0746,0.7184,0.2192
60619,1.4002,0.9455,2.1931,2.8254,2.0028,5.7071,0.2513,0.9787,0.8594,0.3942,1.5719,0.8688
60620,2.5249,0.538,1.6674,3.5103,2.4779,3.3507,0.8617,1.1814,0.5775,0.8242,1.1117,0.5659
60621,0.2498,0.3179,0.3396,4.397,4.5204,3.4794,1.2486,2.264,0.9929,0.4276,0.1992,0.7517
60622,0.3517,1.4486,0.8539,1.2252,11.6133,2.9662,0.2472,0.591,0.4011,0.1701,0.1959,0.5643
60623,0.3546,0.4788,1.4708,3.569,8.4487,2.9308,0.4682,1.3467,0.7504,0.65,1.0168,0.4257
60624,0.6922,0.3157,0.7915,1.5437,10.7109,5.0543,1.1216,1.109,0.5939,0.1629,0.4191,0.6736
60625,0.2114,1.7809,1.7799,1.8089,7.8235,5.1084,0.5414,1.0497,0.6092,0.4792,0.9333,1.1055
60626,0.0442,1.2254,2.882,1.3703,8.6289,4.9097,0.564,0.7133,0.4335,0.3094,0.5756,0.2789
60628,3.9542,0.3867,0.4157,1.2314,2.8629,6.5694,1.4323,1.0848,1.8757,0.3661,2.0971,1.4449
60629,1.1262,2.1624,3.904,2.3755,3.4668,1.5726,0.9006,1.6103,1.2602,0.3404,1.0855,1.8569
60630,2.4693,4.2562,3.3435,1.2441,5.5164,4.2758,0.4967,0.8291,1.3107,1.0383,0.3366,0.996
60631,1.228,4.5847,4.5824,1.7621,2.5529,3.7358,1.8033,3.3301,3.0478,0.5021,3.0956,3.4754
60632,2.2196,2.2197,4.0159,4.7664,5.9056,1.4144,0.2021,0.3953,1.6494,0.8076,0.5957,1.0787
60633,3.0186,3.4955,3.3964,1.2854,1.2535,10.0401,0.9437,0.7523,3.4543,2.9373,1.8046,2.7113
60634,1.4217,4.5504,2.8068,2.2122,5.8533,4.0362,0.0735,1.207,1.5363,0.7057,1.7382,1.23
60636,0.4142,0.9907,1.8038,3.6992,3.6708,2.7109,0.1686,1.6375,0.5654,0.4293,0.6877,0.6194
60637,0.5654,1.2391,1.7832,3.6974,4.2804,4.9438,0.4428,0.7566,1.1512,0.4676,1.7106,1.2674
60638,3.3501,4.7999,3.6658,3.3121,5.3705,0.8458,1.3159,2.1534,0.7332,0.9795,1.9609,1.0438
60639,0.3325,2.0822,0.3273,1.7301,8.4477,5.098,0.748,1.099,0.1984,0.6074,1.5423,0.3834
60640,0.3981,0.5865,0.4005,1.3926,9.6312,3.9377,0.646,0.5104,0.7776,0.2729,0.7635,0.9825
60641,0.8726,3.1831,1.7344,1.0898,7.1922,6.0821,0.8572,0.7717,0.7985,0.4826,1.0163,0.3842
60643,2.1668,2.2917,1.6075,1.2544,2.56,4.5789,0.8178,2.7908,0.6942,0.8933,2.1588,2.7023
60644,0.5248,1.1085,0.3286,1.5633,10.9585,4.9384,0.4944,0.8162,1.1136,0.1313,0.7736,0.4499
60645,0.8563,0.8632,3.3994,1.643,7.2345,3.9139,0.3965,0.7822,0.6928,0.4981,1.3066,1.2425
60646,1.3307,3.2554,3.2497,1.045,4.4987,2.8286,0.5277,1.7688,2.4042,0.7097,1.6006,1.6245
60647,0.7719,1.4294,0.2522,0.9724,10.0543,3.653,0.1888,1.3203,0.8286,0.073,0.464,0.3665
60649,1.0417,0.6542,3.2861,2.1387,2.9954,7.0548,0.4473,0.5188,0.9004,0.3782,1.1861,2.4725
60651,0.4303,0.9864,1.4894,0.5751,9.9401,5.6466,0.4065,0.2821,1.2119,0.1521,1.0093,0.148
60652,1.9516,1.4098,2.0384,0.6607,1.7409,0.3541,0.4282,0.5173,0.367,1.4823,1.8383,1.7149
60653,0.5682,1.3617,2.0175,1.0789,6.8902,4.1547,0.2757,1.2838,0.6472,0.5817,0.5951,0.7855
60654,0.1683,0.1677,0.3181,3.6068,11.8274,1.9644,0.2381,0.7671,0.3281,1.0522,2.1929,1.6422
60655,1.8804,3.8972,1.9017,1.7557,2.2328,4.0641,1.3,2.342,2.6208,1.2523,1.871,3.5024
60656,0.5916,5.6017,4.883,2.8778,3.7735,5.2838,0.8995,1.8058,1.453,1.0899,3.1304,2.8431
60657,0.0635,1.6035,0.7193,3.6915,11.2445,1.6739,0.5115,0.5354,0.5728,0.4044,2.2406,2.4075
60659,1.0954,2.1535,2.9292,1.5611,7.1115,4.2246,0.4933,0.3803,0.8313,0.6618,1.864,0.9119
60660,1.3288,1.8548,1.5955,0.5192,9.0755,5.1749,0.3858,0.4563,0.2361,0.3674,0.8323,0.9834
60661,0.3683,0.8461,0.3654,3.4099,11.1211,2.6635,0.1182,1.088,0.7283,0.6154,1.7969,1.297
60706,1.4684,5.5814,3.9977,2.7294,4.5339,4.8933,1.0413,1.3003,1.3842,0.8275,2.7626,1.9946
60707,1.4892,3.0164,2.4003,1.3573,7.4948,2.7582,0.7966,0.7527,0.8336,0.6437,0.7862,0.8947
60712,2.2277,2.4294,2.4226,2.414,5.3657,2.4858,0.9806,1.6548,1.7575,1.681,2.887,1.1182
60714,1.483,3.3971,3.3982,0.4428,1.1194,2.5125,0.5883,5.3106,4.1267,1.6134,4.7086,3.3024
60803,2.5227,3.169,3.1455,2.6954,4.2759,5.6859,1.1066,3.3987,4.3472,1.778,3.2576,3.5806
60804,1.2915,1.4517,1.6736,4.2385,8.3388,4.1941,0.3986,1.2986,1.2552,0.245,1.2248000000000001,0.4595
60805,0.4665,2.0748,0.5472,1.619,0.4425,2.2424,0.345,1.5213,1.9936,0.5783,1.0488,2.338
60827,2.579,2.6167,2.6208,0.775,2.4679,8.3868,0.6689,1.9202,4.286,0.8731,1.98,1.3227
60901,1.1958,2.2396,1.8467,1.8245,2.2258,0.8809,4.9431,30.6342,2.5297,15.7844,37.3393,32.6255
60915,1.8566,1.9149,1.91,3.8436,1.1015,2.6853,2.7561,27.523,4.9127,15.9348,35.0104,30.9908
60935,15.7105,17.0627,16.6633,1.9717,2.1297,5.0676,10.3484,24.6781,16.8257,6.5293,35.3644,25.3348
60964,8.7503,8.4616,8.765,0.1027,10.3486,9.1019,10.2691,32.478,7.913,25.5425,43.6722,38.5282
61008,2.0754,9.2053,6.4723,1.2977,2.9043,4.8433,1.6687,23.3096,3.4539,11.6519,15.7021,21.2291
61038,6.2217,14.5044,11.2778,2.3829,6.1498,2.9213,4.2136,20.9783,5.7233,6.1256,10.2393,15.8104
61068,1.1642,21.8051,0.6883,2.9094,3.7589,1.6142,6.3606,17.9297,17.8309,16.2639,36.8814,37.91
61073,8.5202,11.2656,9.5245,1.4954,14.9074,11.6975,2.7008,36.5914,18.1073,21.5599,23.592,31.0622
61101,3.8161,8.427,4.3435,2.8534,15.4667,4.0951,3.4492,36.3168,19.7891,27.3984,30.5024,37.3031
61103,2.7378,6.6229,3.0548,1.4591,13.0424,4.7525,1.425,34.8505,17.2174,24.1414,27.136,34.0357
61107,0.2449,1.6583,0.818,5.5199,7.195,5.8898,2.2376,29.0618,11.4787,19.6974,23.224,29.5525
61108,0.7744,0.9272,1.2551,5.9795,6.2856,4.7138,1.5335,27.3795,10.663,19.8245,23.5822,29.5643
61109,3.2486,5.1481,3.1497,1.077,8.6988,0.342,2.5821,25.5158,12.555,23.1262,27.1998,32.4821
61115,3.9532,7.0106,4.9791,3.6738,12.0636,7.2417,1.5922,34.5362,15.9086,21.732,24.5023,31.5763
61270,13.8555,40.5299,15.6211,1.7435,1.8036,3.1297,10.1518,35.3474,35.9188,62.1493,80.2674,84.0934
61301,3.1722,13.5739,13.6553,0.9655,2.5295,0.1213,11.2258,40.7786,42.0075,33.1763,45.9459,45.3677
61329,5.1275,19.1655,19.2393,3.2698,4.2923,6.1307,17.0575,44.7284,45.881100000000004,39.1326,51.5208,51.0927
61354,0.9169,15.9247,15.9872,2.3284,3.2284,5.562,16.6065,46.3852,47.6032,36.145,51.3347,50.6445
61356,1.5379,31.6402,30.3698,0.6757,4.2074,4.2266,22.6335,52.0255,49.555,48.3128,61.9342,61.8573
61701,0.7192,3.3303,1.8051,0.3423,18.892,1.5457,1.511,1.2456,1.9502,1.6332,96.206,85.2579
61759,16.2743,18.3652,16.3253,14.4193,1.3667,13.9654,12.5953,16.5916,16.6463,16.3749,105.7792,97.3694
61764,30.9478,30.5843,1.1012,1.2251,2.4832,1.2183,4.2592,31.8855,30.6563,32.3666,62.4969,51.4794
61913,15.277,22.1481,24.1516,1.6694,9.4675,15.4594,20.8671,22.081,23.4671,52.3891,128.9047,119.2102
62040,1.8667,7.99,1.7698,2.0168,24.5096,17.7358,4.4705,12.1504,1.8567,133.1662,230.5288,219.8707
62234,3.6088,10.822,4.5315,1.2527,19.5978,17.9379,2.5617,10.1105,3.3926,133.0056,230.4256,219.4051
62237,22.0271,43.7948,31.6363,1.7724,3.3047,15.1711,24.4439,35.8366,35.3766,159.4491,253.8783,242.9731
62243,8.2731,20.1769,11.3472,1.1804,20.4813,2.1671,4.45,27.8512,14.6552,148.3692,245.0292,234.0253
62703,0.4139,1.9934,0.4311,1.8291,2.8933,10.9539,2.2728,2.7724,1.1063,58.1557,154.7435,144.9316
62890,12.2811,91.7892,11.0206,2.6155,1.9719,18.794,16.2851,32.2878,30.0235,176.7474,261.8472,252.5003
62959,6.1112,92.3712,4.6024,4.6223,17.9445,26.6188,2.5063,20.4099,17.6232,189.2072,276.248,266.6137
