VL,Transmission Probability
0,0.000221038
0.023411371,0.000222968
0.046822742,0.000243847
0.070234114,0.000255412
0.093645485,0.000266127
0.117056856,0.000286091
0.140468227,0.000296112
0.163879599,0.000318532
0.18729097,0.000329262
0.210702341,0.000358433
0.234113712,0.00037155
0.257525084,0.000383293
0.280936455,0.000412397
0.304347826,0.000438536
0.327759197,0.000463196
0.351170569,0.00048991
0.37458194,0.000523865
0.397993311,0.000534481
0.421404682,0.000588269
0.444816054,0.000600196
0.468227425,0.000645871
0.491638796,0.000668244
0.515050167,0.000719918
0.538461538,0.000755076
0.56187291,0.00081572
0.585284281,0.000848933
0.608695652,0.000904122
0.632107023,0.000905132
0.655518395,0.000982879
0.678929766,0.001057458
0.702341137,0.001109214
0.725752508,0.00117274
0.74916388,0.001213142
0.772575251,0.001298552
0.795986622,0.001345344
0.819397993,0.001456775
0.842809365,0.001540283
0.866220736,0.001594534
0.889632107,0.001674031
0.913043478,0.001795787
0.936454849,0.00191025
0.959866221,0.001954807
0.983277592,0.002091443
1.006688963,0.002180354
1.030100334,0.00234209
1.053511706,0.002513408
1.076923077,0.002547126
1.100334448,0.002767531
1.123745819,0.002840849
1.147157191,0.00305844
1.170568562,0.003368229
1.193979933,0.003315245
1.217391304,0.003538675
1.240802676,0.003830664
1.264214047,0.004003964
1.287625418,0.004225066
1.311036789,0.004488696
1.334448161,0.004656928
1.357859532,0.004959732
1.381270903,0.005219941
1.404682274,0.005628448
1.428093645,0.005884466
1.451505017,0.006090309
1.474916388,0.006620842
1.498327759,0.006976501
1.52173913,0.007228142
1.545150502,0.007710351
1.568561873,0.008076108
1.591973244,0.008246096
1.615384615,0.008881873
1.638795987,0.009403809
1.662207358,0.009673542
1.685618729,0.010546047
1.7090301,0.011610195
1.732441472,0.011625055
1.755852843,0.012383851
1.779264214,0.012868716
1.802675585,0.013710489
1.826086957,0.014235938
1.849498328,0.015029689
1.872909699,0.01589843
1.89632107,0.017215061
1.919732441,0.018190061
1.943143813,0.018730449
1.966555184,0.019874984
1.989966555,0.0206609
2.013377926,0.022419186
2.036789298,0.02336572
2.060200669,0.024561723
2.08361204,0.027158934
2.107023411,0.02747111
2.130434783,0.029364107
2.153846154,0.030438535
2.177257525,0.03257416
2.200668896,0.033555399
2.224080268,0.035022996
2.247491639,0.037799185
2.27090301,0.04027064
2.294314381,0.041408192
2.317725753,0.044266793
2.341137124,0.04615
2.364548495,0.0491238
2.387959866,0.052681418
2.411371237,0.053982719
2.434782609,0.057339862
2.45819398,0.061477454
2.481605351,0.063737729
2.505016722,0.066671795
2.528428094,0.071091325
2.551839465,0.075391383
2.575250836,0.078954488
2.598662207,0.084030543
2.622073579,0.087820756
2.64548495,0.091495106
2.668896321,0.096623083
2.692307692,0.100919812
2.715719064,0.104301921
2.739130435,0.111920792
2.762541806,0.118918393
2.785953177,0.124119239
2.809364548,0.128536719
2.83277592,0.135392948
2.856187291,0.143391883
2.879598662,0.14684979
2.903010033,0.156462524
2.926421405,0.166780139
2.949832776,0.179151562
2.973244147,0.185337373
2.996655518,0.198226285
3.02006689,0.201831233
3.043478261,0.216304153
3.066889632,0.222498011
3.090301003,0.235486191
3.113712375,0.25086725
3.137123746,0.253910942
3.160535117,0.26881343
3.183946488,0.279135177
3.20735786,0.291601511
3.230769231,0.309584941
3.254180602,0.32415936
3.277591973,0.330759348
3.301003344,0.349234
3.324414716,0.367403448
3.347826087,0.391595755
3.371237458,0.400266339
3.394648829,0.411507067
3.418060201,0.434958287
3.441471572,0.458435528
3.464882943,0.464474508
3.488294314,0.487655849
3.511705686,0.503931679
3.535117057,0.525786153
3.558528428,0.552561414
3.581939799,0.564011507
3.605351171,0.582620305
3.628762542,0.602775268
3.652173913,0.628201928
3.675585284,0.641808311
3.698996656,0.670732282
3.722408027,0.683642489
3.745819398,0.703770676
3.769230769,0.722192389
3.79264214,0.73818387
3.816053512,0.759036731
3.839464883,0.784997497
3.862876254,0.793156805
3.886287625,0.809939756
3.909698997,0.826325665
3.933110368,0.84476458
3.956521739,0.86008609
3.97993311,0.873795782
4.003344482,0.882312155
4.026755853,0.899280089
4.050167224,0.913985325
4.073578595,0.926222014
4.096989967,0.936753043
4.120401338,0.948920195
4.143812709,0.949248304
4.16722408,0.957943773
4.190635452,0.965987717
4.214046823,0.97183056
4.237458194,0.978004084
4.260869565,0.982170321
4.284280936,0.985297968
4.307692308,0.987522487
4.331103679,0.990184783
4.35451505,0.992546324
4.377926421,0.994853169
4.401337793,0.995731147
4.424749164,0.99705138
4.448160535,0.997547371
4.471571906,0.998494139
4.494983278,0.998933246
4.518394649,0.999233983
4.54180602,0.999536865
4.565217391,0.999723227
4.588628763,0.999749771
4.612040134,0.999852721
4.635451505,0.999925259
4.658862876,0.999947794
4.682274247,0.999973527
4.705685619,0.999985829
4.72909699,0.999989616
4.752508361,0.999995769
4.775919732,0.999997099
4.799331104,0.999998815
4.822742475,0.9999995
4.846153846,0.999999754
4.869565217,0.999999912
4.892976589,0.999999959
4.91638796,0.999999983
4.939799331,0.999999992
4.963210702,0.999999998
4.986622074,0.999999999
5.010033445,1
5.033444816,1
5.056856187,1
5.080267559,1
5.10367893,1
5.127090301,1
5.150501672,1
5.173913043,1
5.197324415,1
5.220735786,1
5.244147157,1
5.267558528,1
5.2909699,1
5.314381271,1
5.337792642,1
5.361204013,1
5.384615385,1
5.408026756,1
5.431438127,1
5.454849498,1
5.47826087,1
5.501672241,1
5.525083612,1
5.548494983,1
5.571906355,1
5.595317726,1
5.618729097,1
5.642140468,1
5.665551839,1
5.688963211,1
5.712374582,1
5.735785953,1
5.759197324,1
5.782608696,1
5.806020067,1
5.829431438,1
5.852842809,1
5.876254181,1
5.899665552,1
5.923076923,1
5.946488294,1
5.969899666,1
5.993311037,1
6.016722408,1
6.040133779,1
6.063545151,1
6.086956522,1
6.110367893,1
6.133779264,1
6.157190635,1
6.180602007,1
6.204013378,1
6.227424749,1
6.25083612,1
6.274247492,1
6.297658863,1
6.321070234,1
6.344481605,1
6.367892977,1
6.391304348,1
6.414715719,1
6.43812709,1
6.461538462,1
6.484949833,1
6.508361204,1
6.531772575,1
6.555183946,1
6.578595318,1
6.602006689,1
6.62541806,1
6.648829431,1
6.672240803,1
6.695652174,1
6.719063545,1
6.742474916,1
6.765886288,1
6.789297659,1
6.81270903,1
6.836120401,1
6.859531773,1
6.882943144,1
6.906354515,1
6.929765886,1
6.953177258,1
6.976588629,1
7,1